id,number,name,en_name,type,revelation_order,total_ayas,total_rukus
QS01,1,الفاتحة,Al-Faatiha,Meccan,5,7,1
QS02,2,البقرة,Al-Baqara,Medinan,87,286,40
QS03,3,آل عمران,Aal-i-Imraan,Medinan,89,200,20
QS04,4,النساء,An-Nisaa,Medinan,92,176,24
QS05,5,المائدة,Al-Maaida,Medinan,112,120,16
QS06,6,الأنعام,Al-An'aam,Meccan,55,165,20
QS07,7,الأعراف,Al-A'raaf,Meccan,39,206,24
QS08,8,الأنفال,Al-Anfaal,Medinan,88,75,10
QS09,9,التوبة,At-Tawba,Medinan,113,129,16
QS10,10,يونس,Yunus,Meccan,51,109,11
QS11,11,هود,Hud,Meccan,52,123,10
QS12,12,يوسف,Yusuf,Meccan,53,111,12
QS13,13,الرعد,Ar-Ra'd,Medinan,96,43,6
QS14,14,ابراهيم,Ibrahim,Meccan,72,52,7
QS15,15,الحجر,Al-Hijr,Meccan,54,99,6
QS16,16,النحل,An-Nahl,Meccan,70,128,16
QS17,17,الإسراء,Al-Israa,Meccan,50,111,12
QS18,18,الكهف,Al-Kahf,Meccan,69,110,12
QS19,19,مريم,Maryam,Meccan,44,98,6
QS20,20,طه,Taa-Haa,Meccan,45,135,8
QS21,21,الأنبياء,Al-Anbiyaa,Meccan,73,112,7
QS22,22,الحج,Al-Hajj,Medinan,103,78,10
QS23,23,المؤمنون,Al-Muminoon,Meccan,74,118,6
QS24,24,النور,An-Noor,Medinan,102,64,9
QS25,25,الفرقان,Al-Furqaan,Meccan,42,77,6
QS26,26,الشعراء,Ash-Shu'araa,Meccan,47,227,11
QS27,27,النمل,An-Naml,Meccan,48,93,7
QS28,28,القصص,Al-Qasas,Meccan,49,88,8
QS29,29,العنكبوت,Al-Ankaboot,Meccan,85,69,7
QS30,30,الروم,Ar-Room,Meccan,84,60,6
QS31,31,لقمان,Luqman,Meccan,57,34,3
QS32,32,السجدة,As-Sajda,Meccan,75,30,3
QS33,33,الأحزاب,Al-Ahzaab,Medinan,90,73,9
QS34,34,سبإ,Saba,Meccan,58,54,6
QS35,35,فاطر,Faatir,Meccan,43,45,5
QS36,36,يس,Yaseen,Meccan,41,83,5
QS37,37,الصافات,As-Saaffaat,Meccan,56,182,5
QS38,38,ص,Saad,Meccan,38,88,5
QS39,39,الزمر,Az-Zumar,Meccan,59,75,8
QS40,40,غافر,Al-Ghaafir,Meccan,60,85,9
QS41,41,فصلت,Fussilat,Meccan,61,54,6
QS42,42,الشورى,Ash-Shura,Meccan,62,53,5
QS43,43,الزخرف,Az-Zukhruf,Meccan,63,89,7
QS44,44,الدخان,Ad-Dukhaan,Meccan,64,59,3
QS45,45,الجاثية,Al-Jaathiya,Meccan,65,37,4
QS46,46,الأحقاف,Al-Ahqaf,Meccan,66,35,4
QS47,47,محمد,Muhammad,Medinan,95,38,4
QS48,48,الفتح,Al-Fath,Medinan,111,29,4
QS49,49,الحجرات,Al-Hujuraat,Medinan,106,18,2
QS50,50,ق,Qaaf,Meccan,34,45,3
QS51,51,الذاريات,Adh-Dhaariyat,Meccan,67,60,3
QS52,52,الطور,At-Tur,Meccan,76,49,2
QS53,53,النجم,An-Najm,Meccan,23,62,3
QS54,54,القمر,Al-Qamar,Meccan,37,55,3
QS55,55,الرحمن,Ar-Rahmaan,Medinan,97,78,3
QS56,56,الواقعة,Al-Waaqia,Meccan,46,96,3
QS57,57,الحديد,Al-Hadid,Medinan,94,29,4
QS58,58,المجادلة,Al-Mujaadila,Medinan,105,22,3
QS59,59,الحشر,Al-Hashr,Medinan,101,24,3
QS60,60,الممتحنة,Al-Mumtahana,Medinan,91,13,2
QS61,61,الصف,As-Saff,Medinan,109,14,2
QS62,62,الجمعة,Al-Jumu'a,Medinan,110,11,2
QS63,63,المنافقون,Al-Munaafiqoon,Medinan,104,11,2
QS64,64,التغابن,At-Taghaabun,Medinan,108,18,2
QS65,65,الطلاق,At-Talaaq,Medinan,99,12,2
QS66,66,التحريم,At-Tahrim,Medinan,107,12,2
QS67,67,الملك,Al-Mulk,Meccan,77,30,2
QS68,68,القلم,Al-Qalam,Meccan,2,52,2
QS69,69,الحاقة,Al-Haaqqa,Meccan,78,52,2
QS70,70,المعارج,Al-Ma'aarij,Meccan,79,44,2
QS71,71,نوح,Nooh,Meccan,71,28,2
QS72,72,الجن,Al-Jinn,Meccan,40,28,2
QS73,73,المزمل,Al-Muzzammil,Meccan,3,20,2
QS74,74,المدثر,Al-Muddaththir,Meccan,4,56,2
QS75,75,القيامة,Al-Qiyaama,Meccan,31,40,2
QS76,76,الانسان,Al-Insaan,Medinan,98,31,2
QS77,77,المرسلات,Al-Mursalaat,Meccan,33,50,2
QS78,78,النبإ,An-Naba,Meccan,80,40,2
QS79,79,النازعات,An-Naazi'aat,Meccan,81,46,2
QS80,80,عبس,Abasa,Meccan,24,42,1
QS81,81,التكوير,At-Takwir,Meccan,7,29,1
QS82,82,الإنفطار,Al-Infitaar,Meccan,82,19,1
QS83,83,المطففين,Al-Mutaffifin,Meccan,86,36,1
QS84,84,الإنشقاق,Al-Inshiqaaq,Meccan,83,25,1
QS85,85,البروج,Al-Burooj,Meccan,27,22,1
QS86,86,الطارق,At-Taariq,Meccan,36,17,1
QS87,87,الأعلى,Al-A'laa,Meccan,8,19,1
QS88,88,الغاشية,Al-Ghaashiya,Meccan,68,26,1
QS89,89,الفجر,Al-Fajr,Meccan,10,30,1
QS90,90,البلد,Al-Balad,Meccan,35,20,1
QS91,91,الشمس,Ash-Shams,Meccan,26,15,1
QS92,92,الليل,Al-Lail,Meccan,9,21,1
QS93,93,الضحى,Ad-Dhuhaa,Meccan,11,11,1
QS94,94,الشرح,Ash-Sharh,Meccan,12,8,1
QS95,95,التين,At-Tin,Meccan,28,8,1
QS96,96,العلق,Al-Alaq,Meccan,1,19,1
QS97,97,القدر,Al-Qadr,Meccan,25,5,1
QS98,98,البينة,Al-Bayyina,Medinan,100,8,1
QS99,99,الزلزلة,Az-Zalzala,Medinan,93,8,1
QS100,100,العاديات,Al-Aadiyaat,Meccan,14,11,1
QS101,101,القارعة,Al-Qaari'a,Meccan,30,11,1
QS102,102,التكاثر,At-Takaathur,Meccan,16,8,1
QS103,103,العصر,Al-Asr,Meccan,13,3,1
QS104,104,الهمزة,Al-Humaza,Meccan,32,9,1
QS105,105,الفيل,Al-Fil,Meccan,19,5,1
QS106,106,قريش,Quraish,Meccan,29,4,1
QS107,107,الماعون,Al-Maa'un,Meccan,17,7,1
QS108,108,الكوثر,Al-Kawthar,Meccan,15,3,1
QS109,109,الكافرون,Al-Kaafiroon,Meccan,18,6,1
QS110,110,النصر,An-Nasr,Medinan,114,3,1
QS111,111,المسد,Al-Masad,Meccan,6,5,1
QS112,112,الإخلاص,Al-Ikhlaas,Meccan,22,4,1
QS113,113,الفلق,Al-Falaq,Meccan,20,5,1
QS114,114,الناس,An-Naas,Meccan,21,6,1
